Date,Open,High,Low,Close,Volume,OpenInt,B_Small,B_Large,Sell
2017-06-14,151.39,153.92,148.37,151.59,29550294,0,1,1,0
2017-06-15,146.83,153.46,146.37,152.24,24022439,0,1,1,0
2017-06-16,152.63,154.56,150.11,151.49,23042517,0,1,1,0
2017-06-19,153.28,157.39,153.13,157.18,19372391,0,0,0,1
2017-06-20,158.89,161.6,156.78,156.95,27382378,0,0,1,1
2017-06-21,158.07,159.48,155.56,159.33,17081305,0,0,0,1
2017-06-22,159.66,160.2,157.26,158.23,11725036,0,0,0,1
2017-06-23,158.54,159.18,153.09,153.69,27208581,0,0,0,1
2017-06-26,155.02,156.46,148.2,152.02,26609296,0,0,0,1
2017-06-27,151.31,151.66,146.22,146.45,24971839,0,1,1,1
2017-06-28,149.19,151.81,145.62,151.62,24854349,0,0,0,1
2017-06-29,150.47,150.59,143.95,146.55,26551275,0,0,0,0
2017-06-30,147.25,147.8,143.37,144.43,18262904,0,1,1,0
2017-07-03,144.92,145.53,138.46,139.21,17742429,0,1,1,0
2017-07-05,141.78,144.09,141.01,142.92,20492770,0,1,1,0
2017-07-06,141.75,145.25,139.64,143.36,18639125,0,1,1,0
2017-07-07,145.65,147.37,144.72,146.63,16318489,0,1,1,0
2017-07-10,149.61,153.86,148.55,153.56,23909528,0,1,1,0
2017-07-11,153.71,156.05,152.02,155.74,18937690,0,1,1,0
2017-07-12,158.16,162.86,156.42,162.37,28526578,0,1,1,0
2017-07-13,162.86,166.15,158.61,160.46,34216234,0,1,1,0
2017-07-14,161.15,164.86,160.87,164.86,23546206,0,1,1,0
2017-07-17,166.18,167.35,161.61,164.11,23163857,0,1,1,0
2017-07-18,161.64,166.4,161.16,165.81,19415676,0,0,0,1
2017-07-19,166.18,167.25,164.47,164.95,17135823,0,1,1,0
2017-07-20,165.78,167.36,163.77,167.35,17429320,0,0,1,1
2017-07-21,166.52,169.15,165.94,167.95,15971986,0,0,0,1
2017-07-24,168.24,168.63,165.57,166,16248221,0,0,0,1
2017-07-25,165.07,165.78,163.44,165.2,12352634,0,0,1,1
2017-07-26,167.53,169.78,165.7,167.11,15987204,0,0,0,1
2017-07-27,168.12,168.59,157.42,161.6,19092618,0,1,1,0
2017-07-28,160.15,165.23,159.14,164.25,12833128,0,1,1,0
2017-07-31,164.79,166.25,160.48,162.37,13973269,0,1,1,0
2017-08-01,161.98,164.42,160.86,164.35,10758294,0,1,1,0
2017-08-02,165.6,165.76,161.13,164.25,11654531,0,1,1,0
2017-08-03,164.23,166.48,163.54,166.33,11057801,0,1,1,0
2017-08-04,167.25,169.92,166.33,167.06,14722999,0,1,1,0
2017-08-07,168.24,172.22,167.85,172.2,17880641,0,0,0,1
2017-08-08,173.74,174.41,168.56,170.15,18820728,0,0,1,1
2017-08-09,168.28,172.06,167.52,171.96,13206048,0,0,0,1
2017-08-10,172.01,172.51,164.19,164.6,32119253,0,0,0,1
2017-08-11,157,158.86,152.78,155.82,37420990,0,1,1,0
2017-08-14,159.53,168.4,159.06,168.25,31916970,0,0,0,1
2017-08-15,168.46,169.52,165.44,166.83,19098008,0,0,0,1
2017-08-16,167.44,168.39,163.7,165,14898232,0,0,0,1
2017-08-17,164.67,165.35,161.24,161.33,13059334,0,1,1,0
2017-08-18,163.53,164.22,159.5,161.36,15023686,0,1,1,0
2017-08-21,162.35,162.81,157.23,159.01,15582935,0,1,1,0
2017-08-22,160.49,162.79,159.71,162.55,11231749,0,1,1,0
